rank,words,phonetic,coca_speech,WB_speech
10008,pediatrician,/ˌpiːdijəˈtrıʃən/,n, noun 
10009,uninsured,/ˌʌnınˈʃɚd/,j, adj 
10010,incompetent,/ınˈkɑːmpətənt/,j," adj 
 adv 
 noun "
10011,harness,/ˈhɑɚnəs/,v," noun 
 verb "
10012,dissipate,/ˈdısəˌpeıt/,v, verb 
10013,tow,/ˈtoʊ/,v," noun 
 verb "
10014,leftover,/ˈlɛftˌoʊvɚ/,j," adj 
 noun "
10015,mahogany,/məˈhɑːgəni/,n," adj 
 noun "
10016,publicize,/ˈpʌbləˌsaız/,v, verb 
10017,drizzle,"/ˈdrızəl/
/ˈdrızəli/",n," adj 
 noun 
 verb "
10018,wallpaper,/ˈwɑːlˌpeıpɚ/,n," noun 
 verb "
10019,fatality,/feıˈtæləti/,n, noun 
10020,burden,/ˈbɚdn̩/,v," noun 
 verb "
10021,obscene,/ɑbˈsiːn/,j," adj 
 adv "
10022,visibly,/ˈvızəbli/,r, adv 
10023,oxide,/ˈɑːkˌsaıd/,n, noun 
10024,bulge,/ˈbʌlʤ/,v," adj 
 noun 
 verb "
10025,coercion,"/koʊˈɚʒən, koʊˈɚʃən/",n, noun 
10026,locale,"/loʊˈkæl, Brit ləʊˈkɑːl/",n, noun 
10027,reimbursement,/ˌriːjəmˈbɚsmənt/,n, noun 
10028,diocese,"/ˈdajəsəs/
/ˈdajəsəsəz/
/daıˈɑːsəsən/",n," adj 
 noun "
10029,tracking,,n,
10030,ventilation,/ˌvɛntəˈleıʃən/,n, noun 
10031,ensuing,,j, adj 
10032,subordinate,"/səˈboɚdənət/
/səˈboɚdəˌneıt/
/səˌboɚdəˈneıʃən/",j," adj 
 noun 
 verb "
10033,manure,"/məˈnuɚ, Brit məˈnjʊə/",n, noun 
10034,bidding,,n, noun 
10035,tenet,/ˈtɛnət/,n, noun 
10036,merit,/ˈmerət/,v," noun 
 verb "
10037,pessimistic,"/ˌpɛsəˈmıstık/
/ˌpɛsəˈmıstıkli/",j," adj 
 adv "
10038,same,/ˈseım/,r," adj 
 adv 
 pronoun "
10039,turbulent,/ˈtɚbjələnt/,j," adj 
 adv "
10040,longitudinal,"/ˌlɑːnʤəˈtuːdənəl, Brit ˌlɒnʤəˈtjuːdənəl/",j," adj 
 adv "
10041,cynicism,/ˈsınəˌsızəm/,n, noun 
10042,ethnographic,/ˌɛθnəˈgræfık/,j, adj 
10043,good-looking,/ˈgʊdˈlʊkıŋ/,j, adj 
10044,affirmation,/ˌæfɚˈmeıʃən/,n, noun 
10045,combustion,/kəmˈbʌsʧən/,n, noun 
10046,inviting,/ınˈvaıtıŋ/,j," adj 
 adv "
10047,rustic,"/ˈrʌstık/
/ˌrʌˈstısəti/",j," adj 
 noun "
10048,affiliate,"/əˈfıliˌeıt/
/əˈfılijət/",v," adj 
 noun 
 verb "
10049,invader,,n, noun 
10050,holistic,/hoʊˈlıstık/,j, adj 
10051,light-year,/ˈlaıtˌjiɚ/,n, noun 
10052,discrete,/dıˈskriːt/,j," adj 
 adv "
10053,straddle,/ˈstrædl̩/,v, verb 
10054,mantle,/ˈmæntl̩/,n," noun 
 verb "
10055,exterior,/ɛkˈstirijɚ/,j," adj 
 noun "
10056,aggravate,/ˈægrəˌveıt/,v," adj 
 adv 
 verb "
10057,Norwegian,/noɚˈwiːʤən/,j," adj 
 noun "
10058,haul,"/ˈhɑːl/
/ˈhɑːlɚ/
/ˈhɑːlijɚ/",n," noun 
 verb "
